,champs,wins,dates
554, Bard ,game-summary-defeat,3/31/2018
555, Bard ,game-summary-defeat,3/31/2018
556, Nami ,game-summary-defeat,3/31/2018
557, Tahm Kench ,game-summary-defeat,3/31/2018
558, Tahm Kench ,game-summary-victory,3/31/2018
559, Tahm Kench ,game-summary-victory,3/31/2018
560, Tahm Kench ,game-summary-victory,3/31/2018
561, Bard ,game-summary-defeat,3/31/2018
562, Bard ,game-summary-defeat,3/31/2018
563, Tahm Kench ,game-summary-defeat,3/30/2018
564, Tahm Kench ,game-summary-victory,3/29/2018
565, Tahm Kench ,game-summary-victory,3/29/2018
566, Tahm Kench ,game-summary-victory,3/29/2018
567, Malphite ,game-summary-defeat,3/28/2018
568, Leona ,game-summary-victory,3/28/2018
569, Lulu ,game-summary-defeat,3/28/2018
570, Lulu ,game-summary-defeat,3/27/2018
571, Tahm Kench ,game-summary-victory,3/26/2018
572, Tahm Kench ,game-summary-victory,3/26/2018
573, Soraka ,game-summary-defeat,3/25/2018
574, Soraka ,game-summary-defeat,3/25/2018
575, Bard ,game-summary-defeat,3/25/2018
576, Bard ,game-summary-defeat,3/25/2018
577, Bard ,game-summary-victory,3/25/2018
578, Bard ,game-summary-defeat,3/25/2018
579, Bard ,game-summary-defeat,3/25/2018
580, Bard ,game-summary-earlysurrender,3/25/2018
581, Ornn ,game-summary-victory,3/24/2018
582, Tahm Kench ,game-summary-victory,3/23/2018
583, Ornn ,game-summary-defeat,3/23/2018
584, Ornn ,game-summary-defeat,3/23/2018
585, Tahm Kench ,game-summary-defeat,3/22/2018
586, Tahm Kench ,game-summary-defeat,3/22/2018
587, Leona ,game-summary-victory,3/21/2018
588, Braum ,game-summary-defeat,3/21/2018
589, Leona ,game-summary-victory,3/19/2018
590, Nami ,game-summary-defeat,3/19/2018
591, Lulu ,game-summary-defeat,3/19/2018
592, Lulu ,game-summary-victory,3/18/2018
593, Lulu ,game-summary-defeat,3/18/2018
594, Lulu ,game-summary-victory,3/18/2018
595, Ornn ,game-summary-defeat,3/18/2018
596, Ornn ,game-summary-victory,3/17/2018
597, Bard ,game-summary-victory,3/17/2018
598, Bard ,game-summary-victory,3/17/2018
599, Bard ,game-summary-victory,3/17/2018
600, Ornn ,game-summary-defeat,3/16/2018
601, Bard ,game-summary-defeat,3/16/2018
602, Bard ,game-summary-victory,3/15/2018
603, Bard ,game-summary-victory,3/15/2018
604, Soraka ,game-summary-victory,3/14/2018
605, Nami ,game-summary-victory,3/13/2018
606, Nami ,game-summary-defeat,3/13/2018
607, Braum ,game-summary-defeat,3/12/2018
608, Nami ,game-summary-defeat,3/12/2018
609, Nami ,game-summary-defeat,3/12/2018
610, Nami ,game-summary-defeat,3/11/2018
611, Soraka ,game-summary-defeat,3/11/2018
612, Soraka ,game-summary-earlysurrender,3/11/2018
613, Soraka ,game-summary-victory,3/11/2018
614, Soraka ,game-summary-defeat,3/11/2018
615, Soraka ,game-summary-victory,3/11/2018
616, Janna ,game-summary-defeat,3/11/2018
617, Ornn ,game-summary-victory,3/10/2018
618, Tahm Kench ,game-summary-victory,3/10/2018
619, Bard ,game-summary-defeat,3/10/2018
620, Bard ,game-summary-defeat,3/10/2018
621, Ornn ,game-summary-defeat,3/10/2018
622, Bard ,game-summary-victory,3/9/2018
623, Ornn ,game-summary-defeat,3/9/2018
624, Ornn ,game-summary-victory,3/8/2018
625, Bard ,game-summary-defeat,3/7/2018
626, Tahm Kench ,game-summary-victory,3/7/2018
627, Sona ,game-summary-victory,3/6/2018
628, Sona ,game-summary-victory,3/6/2018
629, Bard ,game-summary-defeat,3/5/2018
630, Sona ,game-summary-defeat,3/5/2018
631, Ornn ,game-summary-victory,3/4/2018
632, Ornn ,game-summary-defeat,3/3/2018
633, Tahm Kench ,game-summary-defeat,3/3/2018
634, Ornn ,game-summary-victory,3/3/2018
635, Bard ,game-summary-defeat,3/3/2018
636, Tahm Kench ,game-summary-victory,3/2/2018
637, Bard ,game-summary-victory,3/2/2018
638, Tahm Kench ,game-summary-victory,3/1/2018
639, Bard ,game-summary-victory,3/1/2018
640, Bard ,game-summary-victory,3/1/2018
641, Bard ,game-summary-defeat,2/28/2018
642, Bard ,game-summary-victory,2/28/2018
643, Bard ,game-summary-defeat,2/27/2018
644, Tahm Kench ,game-summary-victory,2/27/2018
645, Tahm Kench ,game-summary-victory,2/26/2018
646, Braum ,game-summary-victory,2/25/2018
647, Tahm Kench ,game-summary-victory,2/25/2018
648, Bard ,game-summary-defeat,2/25/2018
649, Bard ,game-summary-victory,2/25/2018
650, Bard ,game-summary-defeat,2/25/2018
651, Tahm Kench ,game-summary-victory,2/24/2018
652, Tahm Kench ,game-summary-defeat,2/24/2018
653, Tahm Kench ,game-summary-victory,2/24/2018
654, Tahm Kench ,game-summary-victory,2/24/2018
655, Tahm Kench ,game-summary-victory,2/23/2018
656, Tahm Kench ,game-summary-defeat,2/23/2018
657, Tahm Kench ,game-summary-victory,2/23/2018
658, Tahm Kench ,game-summary-victory,2/22/2018
659, Tahm Kench ,game-summary-victory,2/22/2018
660, Tahm Kench ,game-summary-defeat,2/22/2018
661, Tahm Kench ,game-summary-defeat,2/22/2018
662, Tahm Kench ,game-summary-victory,2/21/2018
663, Tahm Kench ,game-summary-defeat,2/21/2018
664, Tahm Kench ,game-summary-victory,2/20/2018
665, Varus ,game-summary-defeat,2/20/2018
666, Tahm Kench ,game-summary-defeat,2/20/2018
667, Tahm Kench ,game-summary-earlysurrender,2/20/2018
668, Tahm Kench ,game-summary-victory,2/19/2018
669, Tahm Kench ,game-summary-defeat,2/19/2018
670, Tahm Kench ,game-summary-defeat,2/19/2018
671, Bard ,game-summary-defeat,2/19/2018
672, Tahm Kench ,game-summary-victory,2/18/2018
673, Tahm Kench ,game-summary-defeat,2/18/2018
674, Tahm Kench ,game-summary-defeat,2/18/2018
675, Tahm Kench ,game-summary-victory,2/18/2018
676, Tahm Kench ,game-summary-defeat,2/18/2018
677, Tahm Kench ,game-summary-defeat,2/18/2018
678, Tahm Kench ,game-summary-defeat,2/17/2018
679, Soraka ,game-summary-defeat,2/17/2018
680, Soraka ,game-summary-defeat,2/17/2018
681, Janna ,game-summary-victory,2/17/2018
682, Janna ,game-summary-defeat,2/17/2018
683, Janna ,game-summary-earlysurrender,2/17/2018
684, Janna ,game-summary-victory,2/17/2018
685, Janna ,game-summary-victory,2/17/2018
686, Ornn ,game-summary-defeat,2/15/2018
687, Soraka ,game-summary-defeat,2/15/2018
688, Ornn ,game-summary-victory,2/15/2018
689, Alistar ,game-summary-defeat,2/14/2018
690, Ornn ,game-summary-victory,2/13/2018
691, Nami ,game-summary-defeat,2/13/2018
692, Alistar ,game-summary-defeat,2/13/2018
693, Soraka ,game-summary-defeat,2/12/2018
694, Bard ,game-summary-defeat,2/12/2018
695, Alistar ,game-summary-victory,2/11/2018
696, Braum ,game-summary-defeat,2/11/2018
697, Braum ,game-summary-victory,2/11/2018
698, Braum ,game-summary-victory,2/9/2018
699, Bard ,game-summary-victory,2/9/2018
700, Bard ,game-summary-defeat,2/8/2018
701, Tahm Kench ,game-summary-victory,2/8/2018
702, Tahm Kench ,game-summary-defeat,2/7/2018
703, Alistar ,game-summary-victory,2/7/2018
704, Tahm Kench ,game-summary-victory,2/7/2018
705, Ornn ,game-summary-defeat,2/6/2018
706, Soraka ,game-summary-defeat,2/6/2018
707, Tahm Kench ,game-summary-victory,2/4/2018
708, Tahm Kench ,game-summary-victory,2/4/2018
709, Bard ,game-summary-defeat,2/4/2018
710, Bard ,game-summary-victory,2/4/2018
711, Soraka ,game-summary-victory,2/4/2018
712, Soraka ,game-summary-defeat,2/4/2018
713, Soraka ,game-summary-defeat,2/4/2018
714, Soraka ,game-summary-defeat,2/3/2018
715, Bard ,game-summary-defeat,2/3/2018
716, Vayne ,game-summary-defeat,2/3/2018
717, Nami ,game-summary-victory,2/2/2018
718, Nami ,game-summary-earlysurrender,2/2/2018
719, Bard ,game-summary-defeat,2/2/2018
720, Bard ,game-summary-defeat,2/2/2018
721, Nami ,game-summary-defeat,2/1/2018
722, Bard ,game-summary-defeat,1/31/2018
723, Alistar ,game-summary-defeat,1/31/2018
724, Alistar ,game-summary-victory,1/31/2018
725, Alistar ,game-summary-victory,1/30/2018
726, Alistar ,game-summary-victory,1/29/2018
727, Janna ,game-summary-defeat,1/29/2018
728, Lulu ,game-summary-victory,1/28/2018
729, Alistar ,game-summary-defeat,1/28/2018
730, Alistar ,game-summary-defeat,1/28/2018
731, Braum ,game-summary-victory,1/27/2018
732, Soraka ,game-summary-victory,1/27/2018
733, Janna ,game-summary-defeat,1/26/2018
734, Janna ,game-summary-earlysurrender,1/26/2018
735, Ornn ,game-summary-victory,1/26/2018
736, Janna ,game-summary-defeat,1/25/2018
737, Vayne ,game-summary-victory,1/24/2018
738, Tristana ,game-summary-victory,1/23/2018
739, Tristana ,game-summary-victory,1/23/2018
740, Bard ,game-summary-victory,1/22/2018
741, Bard ,game-summary-defeat,1/22/2018
742, Bard ,game-summary-defeat,1/22/2018
743, Bard ,game-summary-victory,1/21/2018
744, Caitlyn ,game-summary-defeat,1/21/2018
745, Caitlyn ,game-summary-defeat,1/21/2018
746, Bard ,game-summary-defeat,1/21/2018
747, Ornn ,game-summary-defeat,1/21/2018
748, Bard ,game-summary-defeat,1/21/2018
749, Bard ,game-summary-victory,1/21/2018
750, Bard ,game-summary-defeat,1/13/2018
751, Bard ,game-summary-defeat,1/13/2018
752, Bard ,game-summary-defeat,1/12/2018
753, Bard ,game-summary-victory,1/11/2018
754, Bard ,game-summary-victory,1/11/2018
755, Bard ,game-summary-defeat,1/11/2018
756, Tahm Kench ,game-summary-defeat,1/9/2018
757, Bard ,game-summary-earlysurrender,1/9/2018
758, Bard ,game-summary-victory,1/8/2018
759, Bard ,game-summary-victory,1/8/2018
760, Bard ,game-summary-victory,1/8/2018
761, Bard ,game-summary-victory,1/7/2018
762, Janna ,game-summary-victory,1/7/2018
763, Bard ,game-summary-defeat,1/7/2018
764, Bard ,game-summary-defeat,1/7/2018
765, Janna ,game-summary-defeat,1/3/2018
766, Braum ,game-summary-defeat,12/25/2017
767, Bard ,game-summary-defeat,12/14/2017
768, Bard ,game-summary-victory,12/14/2017
769, Janna ,game-summary-defeat,12/13/2017
770, Bard ,game-summary-defeat,12/13/2017
771, Bard ,game-summary-defeat,12/11/2017
772, Bard ,game-summary-defeat,12/11/2017
773, Bard ,game-summary-defeat,12/11/2017
774, Tahm Kench ,game-summary-victory,12/10/2017
775, Tahm Kench ,game-summary-victory,12/10/2017
776, Ornn ,game-summary-victory,12/10/2017
777, Bard ,game-summary-defeat,12/10/2017
778, Bard ,game-summary-defeat,12/10/2017
779, Bard ,game-summary-victory,12/5/2017
780, Bard ,game-summary-defeat,12/5/2017
781, Tahm Kench ,game-summary-earlysurrender,12/3/2017
782, Bard ,game-summary-defeat,12/3/2017
783, Sona ,game-summary-victory,12/3/2017
784, Sona ,game-summary-victory,12/3/2017
785, Sona ,game-summary-victory,12/3/2017
786, Tahm Kench ,game-summary-victory,12/3/2017
787, Janna ,game-summary-defeat,12/2/2017
788, Tahm Kench ,game-summary-victory,12/2/2017
789, Tahm Kench ,game-summary-victory,12/2/2017
790, Tahm Kench ,game-summary-earlysurrender,12/2/2017
791, Tahm Kench ,game-summary-defeat,12/2/2017
792, Bard ,game-summary-defeat,11/29/2017
793, Janna ,game-summary-defeat,11/29/2017
794, Ornn ,game-summary-victory,11/28/2017
795, Bard ,game-summary-victory,11/28/2017
796, Bard ,game-summary-defeat,11/28/2017
797, Bard ,game-summary-defeat,11/28/2017
798, Ornn ,game-summary-defeat,11/27/2017
799, Janna ,game-summary-defeat,11/27/2017
800, Janna ,game-summary-defeat,11/26/2017
801, Ornn ,game-summary-defeat,11/26/2017
802, Janna ,game-summary-victory,11/26/2017
803, Ornn ,game-summary-defeat,11/26/2017
804, Ornn ,game-summary-defeat,11/26/2017
805, Braum ,game-summary-defeat,11/26/2017
806, Alistar ,game-summary-defeat,11/26/2017
807, Ornn ,game-summary-defeat,11/26/2017
808, Ornn ,game-summary-victory,11/25/2017
809, Ornn ,game-summary-victory,11/25/2017
810, Sona ,game-summary-victory,11/25/2017
811, Ornn ,game-summary-defeat,11/25/2017
812, Soraka ,game-summary-defeat,11/25/2017
813, Sona ,game-summary-defeat,11/25/2017
814, Ornn ,game-summary-victory,11/24/2017
815, Ornn ,game-summary-defeat,11/23/2017
816, Ornn ,game-summary-victory,11/23/2017
817, Ornn ,game-summary-victory,11/23/2017
818, Janna ,game-summary-defeat,11/22/2017
819, Sona ,game-summary-defeat,11/22/2017
820, Ornn ,game-summary-victory,11/22/2017
821, Ornn ,game-summary-victory,11/21/2017
822, Lulu ,game-summary-victory,11/19/2017
823, Soraka ,game-summary-victory,11/19/2017
824, Soraka ,game-summary-defeat,11/19/2017
825, Soraka ,game-summary-victory,11/19/2017
826, Soraka ,game-summary-victory,11/18/2017
827, Tahm Kench ,game-summary-defeat,11/18/2017
828, Tahm Kench ,game-summary-victory,11/18/2017
829, Tahm Kench ,game-summary-defeat,11/18/2017
830, Tahm Kench ,game-summary-defeat,11/18/2017
831, Tahm Kench ,game-summary-defeat,11/18/2017
832, Tahm Kench ,game-summary-victory,11/18/2017
833, Tahm Kench ,game-summary-victory,11/18/2017
834, Tahm Kench ,game-summary-victory,11/18/2017
835, Tahm Kench ,game-summary-victory,11/17/2017
836, Tahm Kench ,game-summary-victory,11/17/2017
837, Tahm Kench ,game-summary-defeat,11/17/2017
838, Janna ,game-summary-earlysurrender,11/17/2017
839, Ornn ,game-summary-victory,11/16/2017
840, Ornn ,game-summary-defeat,11/16/2017
841, Tahm Kench ,game-summary-defeat,11/15/2017
842, Ornn ,game-summary-defeat,11/15/2017
843, Ornn ,game-summary-victory,11/14/2017
844, Ornn ,game-summary-victory,11/14/2017
845, Ornn ,game-summary-earlysurrender,11/14/2017
846, Bard ,game-summary-defeat,11/14/2017
847, Lulu ,game-summary-victory,11/13/2017
848, Lulu ,game-summary-defeat,11/13/2017
849, Lulu ,game-summary-defeat,11/13/2017
850, Ornn ,game-summary-victory,11/12/2017
851, Leona ,game-summary-defeat,11/12/2017
852, Lulu ,game-summary-victory,11/12/2017
853, Braum ,game-summary-victory,11/12/2017
854, Bard ,game-summary-defeat,11/12/2017
855, Ornn ,game-summary-defeat,11/12/2017
856, Ornn ,game-summary-victory,11/12/2017
857, Bard ,game-summary-victory,11/12/2017
858, Ornn ,game-summary-victory,11/12/2017
859, Soraka ,game-summary-defeat,11/12/2017
860, Ornn ,game-summary-defeat,11/12/2017
861, Lulu ,game-summary-defeat,11/11/2017
862, Lulu ,game-summary-victory,11/11/2017
863, Ornn ,game-summary-victory,11/11/2017
864, Ornn ,game-summary-defeat,11/11/2017
865, Ornn ,game-summary-victory,11/11/2017
866, Ornn ,game-summary-victory,11/9/2017
867, Ornn ,game-summary-victory,11/7/2017
868, Ornn ,game-summary-defeat,11/6/2017
869, Braum ,game-summary-victory,11/6/2017
870, Lulu ,game-summary-victory,11/5/2017
871, Lulu ,game-summary-earlysurrender,11/5/2017
872, Leona ,game-summary-defeat,11/5/2017
873, Ornn ,game-summary-defeat,11/5/2017
874, Bard ,game-summary-victory,11/4/2017
875, Ornn ,game-summary-defeat,11/4/2017
876, Ornn ,game-summary-victory,11/4/2017
877, Janna ,game-summary-defeat,11/4/2017
878, Janna ,game-summary-victory,11/4/2017
879, Ornn ,game-summary-victory,11/4/2017
880, Ornn ,game-summary-defeat,11/4/2017
881, Ornn ,game-summary-victory,11/4/2017
882, Ornn ,game-summary-victory,11/4/2017
883, Ornn ,game-summary-victory,11/4/2017
884, Braum ,game-summary-victory,11/3/2017
