,champs,wins,dates
126, Nunu & Willump ,game-summary-defeat,10/5/2018
127, Nunu & Willump ,game-summary-victory,10/4/2018
128, Tahm Kench ,game-summary-defeat,10/4/2018
129, Nunu & Willump ,game-summary-defeat,10/3/2018
130, Nunu & Willump ,game-summary-defeat,10/3/2018
131, Nunu & Willump ,game-summary-defeat,10/2/2018
132, Nunu & Willump ,game-summary-defeat,10/2/2018
133, Nami ,game-summary-victory,10/1/2018
134, Tahm Kench ,game-summary-defeat,10/1/2018
135, Soraka ,game-summary-defeat,9/30/2018
136, Nunu & Willump ,game-summary-defeat,9/30/2018
137, Nunu & Willump ,game-summary-victory,9/30/2018
138, Nunu & Willump ,game-summary-victory,9/29/2018
139, Nunu & Willump ,game-summary-victory,9/29/2018
140, Nunu & Willump ,game-summary-defeat,9/29/2018
141, Nunu & Willump ,game-summary-defeat,9/29/2018
142, Nunu & Willump ,game-summary-earlysurrender,9/29/2018
143, Lulu ,game-summary-defeat,9/29/2018
144, Lulu ,game-summary-victory,9/29/2018
145, Tahm Kench ,game-summary-defeat,9/29/2018
146, Tahm Kench ,game-summary-victory,9/29/2018
147, Tahm Kench ,game-summary-victory,9/28/2018
148, Tahm Kench ,game-summary-victory,9/28/2018
149, Nunu & Willump ,game-summary-victory,9/27/2018
150, Nunu & Willump ,game-summary-defeat,9/25/2018
151, Tahm Kench ,game-summary-defeat,9/24/2018
152, Tahm Kench ,game-summary-victory,9/23/2018
153, Tahm Kench ,game-summary-victory,9/23/2018
154, Tahm Kench ,game-summary-victory,9/23/2018
155, Tahm Kench ,game-summary-victory,9/23/2018
156, Tahm Kench ,game-summary-defeat,9/23/2018
157, Tahm Kench ,game-summary-defeat,9/22/2018
158, Tahm Kench ,game-summary-defeat,9/22/2018
159, Tahm Kench ,game-summary-defeat,9/22/2018
160, Tahm Kench ,game-summary-defeat,9/22/2018
161, Tahm Kench ,game-summary-defeat,9/22/2018
162, Tahm Kench ,game-summary-victory,9/22/2018
163, Janna ,game-summary-defeat,9/21/2018
164, Lulu ,game-summary-defeat,9/21/2018
165, Lulu ,game-summary-victory,9/20/2018
166, Lulu ,game-summary-victory,9/19/2018
167, Lulu ,game-summary-defeat,9/18/2018
168, Lulu ,game-summary-victory,9/17/2018
169, Lulu ,game-summary-defeat,9/16/2018
170, Lulu ,game-summary-defeat,9/10/2018
171, Tahm Kench ,game-summary-defeat,9/10/2018
172, Lulu ,game-summary-defeat,9/10/2018
173, Lulu ,game-summary-defeat,9/10/2018
174, Lulu ,game-summary-victory,9/10/2018
175, Lulu ,game-summary-victory,9/10/2018
176, Tahm Kench ,game-summary-victory,9/9/2018
177, Lulu ,game-summary-victory,9/9/2018
178, Lulu ,game-summary-defeat,9/8/2018
179, Lulu ,game-summary-defeat,9/8/2018
180, Tahm Kench ,game-summary-defeat,9/8/2018
181, Lulu ,game-summary-defeat,9/8/2018
182, Lulu ,game-summary-earlysurrender,9/8/2018
183, Lulu ,game-summary-victory,9/7/2018
184, Lulu ,game-summary-victory,9/6/2018
185, Lulu ,game-summary-victory,9/6/2018
186, Lulu ,game-summary-victory,9/5/2018
187, Nunu & Willump ,game-summary-victory,9/4/2018
188, Tahm Kench ,game-summary-defeat,9/2/2018
189, Tahm Kench ,game-summary-victory,9/2/2018
190, Lulu ,game-summary-defeat,9/2/2018
191, Lulu ,game-summary-victory,9/1/2018
192, Lulu ,game-summary-victory,9/1/2018
193, Soraka ,game-summary-defeat,9/1/2018
194, Nami ,game-summary-defeat,9/1/2018
195, Soraka ,game-summary-victory,9/1/2018
196, Soraka ,game-summary-defeat,8/31/2018
197, Tahm Kench ,game-summary-defeat,8/31/2018
198, Tahm Kench ,game-summary-victory,8/29/2018
199, Tahm Kench ,game-summary-victory,8/29/2018
200, Soraka ,game-summary-defeat,8/27/2018
201, Soraka ,game-summary-defeat,8/27/2018
202, Soraka ,game-summary-defeat,8/27/2018
203, Tahm Kench ,game-summary-defeat,8/26/2018
204, Tahm Kench ,game-summary-defeat,8/26/2018
205, Tahm Kench ,game-summary-defeat,8/26/2018
206, Tahm Kench ,game-summary-defeat,8/25/2018
207, Tahm Kench ,game-summary-earlysurrender,8/25/2018
208, Tahm Kench ,game-summary-victory,8/25/2018
209, Malphite ,game-summary-defeat,8/23/2018
210, Malphite ,game-summary-victory,8/23/2018
211, Tahm Kench ,game-summary-victory,8/22/2018
212, Tahm Kench ,game-summary-defeat,8/19/2018
213, Tahm Kench ,game-summary-defeat,8/19/2018
214, Bard ,game-summary-defeat,8/19/2018
215, Tahm Kench ,game-summary-defeat,8/19/2018
216, Tahm Kench ,game-summary-defeat,8/19/2018
217, Tahm Kench ,game-summary-defeat,8/18/2018
218, Tahm Kench ,game-summary-victory,8/18/2018
219, Tahm Kench ,game-summary-victory,8/18/2018
220, Tahm Kench ,game-summary-victory,8/18/2018
221, Tahm Kench ,game-summary-victory,8/18/2018
222, Tahm Kench ,game-summary-victory,8/17/2018
223, Tahm Kench ,game-summary-victory,8/17/2018
224, Tahm Kench ,game-summary-victory,8/15/2018
225, Tahm Kench ,game-summary-victory,8/15/2018
226, Tahm Kench ,game-summary-victory,8/15/2018
227, Tahm Kench ,game-summary-victory,8/15/2018
228, Tahm Kench ,game-summary-defeat,8/15/2018
229, Tahm Kench ,game-summary-victory,8/15/2018
230, Tahm Kench ,game-summary-victory,8/14/2018
231, Tahm Kench ,game-summary-victory,8/14/2018
232, Tahm Kench ,game-summary-defeat,8/13/2018
233, Tahm Kench ,game-summary-defeat,8/13/2018
234, Tahm Kench ,game-summary-defeat,8/12/2018
235, Tahm Kench ,game-summary-defeat,8/12/2018
236, Tahm Kench ,game-summary-defeat,8/12/2018
237, Tahm Kench ,game-summary-victory,8/12/2018
238, Tahm Kench ,game-summary-defeat,8/12/2018
239, Nami ,game-summary-defeat,8/11/2018
240, Tahm Kench ,game-summary-defeat,8/11/2018
241, Tahm Kench ,game-summary-victory,8/11/2018
242, Tahm Kench ,game-summary-defeat,8/11/2018
243, Tahm Kench ,game-summary-victory,8/11/2018
244, Tahm Kench ,game-summary-defeat,8/11/2018
245, Tahm Kench ,game-summary-defeat,8/11/2018
246, Nami ,game-summary-defeat,8/11/2018
247, Tahm Kench ,game-summary-defeat,8/11/2018
248, Nami ,game-summary-victory,8/11/2018
249, Tahm Kench ,game-summary-defeat,8/11/2018
250, Soraka ,game-summary-victory,8/11/2018
251, Tahm Kench ,game-summary-victory,8/11/2018
252, Malphite ,game-summary-victory,8/11/2018
253, Malphite ,game-summary-victory,8/11/2018
254, Janna ,game-summary-defeat,8/8/2018
255, Janna ,game-summary-victory,8/8/2018
256, Tahm Kench ,game-summary-defeat,8/7/2018
257, Tahm Kench ,game-summary-victory,8/7/2018
258, Tahm Kench ,game-summary-defeat,8/6/2018
259, Tahm Kench ,game-summary-defeat,8/6/2018
260, Tahm Kench ,game-summary-defeat,8/5/2018
261, Tahm Kench ,game-summary-defeat,8/5/2018
262, Tahm Kench ,game-summary-victory,8/5/2018
263, Malphite ,game-summary-victory,8/5/2018
264, Tahm Kench ,game-summary-defeat,8/5/2018
265, Tahm Kench ,game-summary-victory,8/5/2018
266, Malphite ,game-summary-victory,8/5/2018
267, Malphite ,game-summary-victory,8/5/2018
268, Malphite ,game-summary-defeat,8/5/2018
269, Tahm Kench ,game-summary-victory,8/5/2018
270, Tahm Kench ,game-summary-defeat,8/5/2018
271, Tahm Kench ,game-summary-victory,8/5/2018
272, Tahm Kench ,game-summary-victory,8/4/2018
273, Tahm Kench ,game-summary-defeat,8/4/2018
274, Tahm Kench ,game-summary-victory,8/3/2018
275, Tahm Kench ,game-summary-victory,8/3/2018
276, Tahm Kench ,game-summary-victory,8/2/2018
277, Tahm Kench ,game-summary-defeat,8/2/2018
278, Tahm Kench ,game-summary-defeat,8/1/2018
279, Tahm Kench ,game-summary-defeat,8/1/2018
280, Janna ,game-summary-defeat,8/1/2018
281, Tahm Kench ,game-summary-defeat,7/31/2018
282, Bard ,game-summary-defeat,7/30/2018
283, Tahm Kench ,game-summary-victory,7/30/2018
284, Tahm Kench ,game-summary-defeat,7/29/2018
285, Tahm Kench ,game-summary-defeat,7/29/2018
286, Tahm Kench ,game-summary-defeat,7/28/2018
287, Tahm Kench ,game-summary-defeat,7/28/2018
288, Tahm Kench ,game-summary-victory,7/28/2018
289, Tahm Kench ,game-summary-victory,7/28/2018
290, Tahm Kench ,game-summary-victory,7/28/2018
291, Tahm Kench ,game-summary-victory,7/27/2018
292, Tahm Kench ,game-summary-defeat,7/26/2018
293, Tahm Kench ,game-summary-victory,7/25/2018
294, Tahm Kench ,game-summary-defeat,7/25/2018
295, Tahm Kench ,game-summary-victory,7/24/2018
296, Tahm Kench ,game-summary-defeat,7/24/2018
297, Lulu ,game-summary-defeat,7/22/2018
298, Tahm Kench ,game-summary-defeat,7/22/2018
299, Tahm Kench ,game-summary-defeat,7/21/2018
300, Tahm Kench ,game-summary-victory,7/21/2018
301, Tahm Kench ,game-summary-defeat,7/21/2018
302, Tahm Kench ,game-summary-defeat,7/21/2018
303, Tahm Kench ,game-summary-defeat,7/19/2018
304, Tahm Kench ,game-summary-victory,7/19/2018
305, Bard ,game-summary-defeat,7/19/2018
306, Bard ,game-summary-victory,7/19/2018
307, Tahm Kench ,game-summary-victory,7/19/2018
308, Tahm Kench ,game-summary-victory,7/19/2018
309, Tahm Kench ,game-summary-defeat,7/19/2018
310, Tahm Kench ,game-summary-defeat,7/19/2018
311, Tahm Kench ,game-summary-defeat,7/18/2018
312, Tahm Kench ,game-summary-victory,7/18/2018
313, Tahm Kench ,game-summary-defeat,7/16/2018
314, Tahm Kench ,game-summary-victory,7/15/2018
315, Tahm Kench ,game-summary-victory,7/15/2018
316, Tahm Kench ,game-summary-defeat,7/15/2018
317, Bard ,game-summary-defeat,7/14/2018
318, Bard ,game-summary-defeat,7/14/2018
319, Bard ,game-summary-victory,7/14/2018
320, Bard ,game-summary-victory,7/14/2018
